分類,名前の定義,項目,選択肢,Key,値,,,,,,,,,
Property,listProductPropertyType,,液体,Property液体,1,,,,,,,,,
Property,listProductPropertyType,,粉体,Property粉体,2,,,,,,,,,
Property,listProductPropertyType,,気体,Property気体,3,,,,,,,,,
OEL,listSelectOEL,,デフォルト,OELデフォルト,0,,,,,,,,,
OEL,listSelectOEL,,濃度基準値,OEL濃度基準値,1,,,,,,,,,
OEL,listSelectOEL,,日本産業衛生学会,OEL日本産業衛生学会,2,,,,,,,,,
OEL,listSelectOEL,,ACGIH,OELACGIH,3,,,,,,,,,
OEL,listSelectOEL,,DFG,OELDFG,4,,,,,,,,,
OEL,listSelectOEL,,その他,OELその他,5,,,,,,,,,
GHS,listGHSExplosives,爆発物,不安定爆発物,GHS爆発物不安定爆発物,UnstableExplosive,ghsExplosives,,,,,,,,
GHS,listGHSExplosives,爆発物,等級1.1,GHS爆発物等級1.1,1.1,,,,,,,,,
GHS,listGHSExplosives,爆発物,等級1.2,GHS爆発物等級1.2,1.2,,,,,,,,,
GHS,listGHSExplosives,爆発物,等級1.3,GHS爆発物等級1.3,1.3,,,,,,,,,
GHS,listGHSExplosives,爆発物,等級1.4,GHS爆発物等級1.4,1.4,,,,,,,,,
GHS,listGHSExplosives,爆発物,等級1.5,GHS爆発物等級1.5,1.5,,,,,,,,,
GHS,listGHSExplosives,爆発物,等級1.6,GHS爆発物等級1.6,1.6,,,,,,,,,
GHS,listGHSFlamGas,可燃性ガス,区分1,GHS可燃性ガス区分1,1,,,,,,,,,
GHS,listGHSFlamGas,可燃性ガス,区分2,GHS可燃性ガス区分2,2,,,,爆発物,Explosives,Explosives,GHS_Explosives,ghsExplosives,cmbGHSExplosives
GHS,listGHSAerosol,エアゾール,区分1,GHSエアゾール区分1,1,,,,可燃性ガス,Flammable gases,FlamGas,GHS_FlamGas,ghsFlamGas,cmbGHSFlamGas
GHS,listGHSAerosol,エアゾール,区分2,GHSエアゾール区分2,2,,,,エアゾール,Aerosols,Aerosol,GHS_Aerosol,ghsAerosol,cmbGHSAerosol
GHS,listGHSAerosol,エアゾール,区分3,GHSエアゾール区分3,3,,,,酸化性ガス,Oxidizing gases,OxGas,GHS_OxGas,ghsOxGas,cmbGHSOxGas
GHS,listGHSOxGas,酸化性ガス,区分1,GHS酸化性ガス区分1,1,,,,高圧ガス,Gases under pressure,GasesUnderPressure,GHS_GasesUnderPressure,ghsGasesUnderPressure,cmbGHSGasesUnderPressure
GHS,listGHSGasesUnderPressure,高圧ガス,圧縮ガス,GHS高圧ガス圧縮ガス,CompressedGas,,,,引火性液体,Flammable liquids,FlamLiq,GHS_FlamLiq,ghsFlamLiq,cmbGHSFlamLiq
GHS,listGHSGasesUnderPressure,高圧ガス,液化ガス,GHS高圧ガス液化ガス,LiquefiedGas,,,,可燃性固体,Flammable solids,FlamSol,GHS_FlamSol,ghsFlamSol,cmbGHSFlamSol
GHS,listGHSGasesUnderPressure,高圧ガス,高圧液化ガス,GHS高圧ガス高圧液化ガス,HighPressureLiquefiedGas,,,,自己反応性化学品,Self-reactive substances and mixtures,SelfReact,GHS_SelfReact,ghsSelfReact,cmbGHSSelfReact
GHS,listGHSGasesUnderPressure,高圧ガス,低圧液化ガス,GHS高圧ガス低圧液化ガス,LowPressureLiquefiedGas,,,,自然発火性液体,Pyrophoric liquids,PyrLiq,GHS_PyrLiq,ghsPyrLiq,cmbGHSPyrLiq
GHS,listGHSGasesUnderPressure,高圧ガス,深冷液化ガス,GHS高圧ガス深冷液化ガス,RefrigeratedLiquefiedGas,,,,自然発火性固体,Pyrophoric solids,PyrSol,GHS_PyrSol,ghsPyrSol,cmbGHSPyrSol
GHS,listGHSGasesUnderPressure,高圧ガス,溶解ガス,GHS高圧ガス溶解ガス,DissolvedGas,,,,自己発熱性化学品,Self-heating substances and mixtures,SelfHeat,GHS_SelfHeat,ghsSelfHeat,cmbGHSSelfHeat
GHS,listGHSFlamLiq,引火性液体,区分1,GHS引火性液体区分1,1,,,,水反応可燃性化学品,"Substances and mixtures which, in contact with water, emit flammable gases",WaterReact,GHS_WaterReact,ghsWaterReact,cmbGHSWaterReact
