CAS登録番号,物質名称,ニトリルゴム (0.1 mm),ニトリルゴム (0.11 mm),ニトリルゴム (0.12 mm),ニトリルゴム (0.13 mm),ニトリルゴム (0.2 mm),ニトリルゴム (0.3 mm),ニトリルゴム (0.38 mm),ニトリルゴム (0.45 mm),ニトリルゴム (0.46 mm),天然ゴム（ラテックス） (0.23 mm),ブチルゴム (0.35 mm),クロロプレンゴム (0.18 mm),クロロプレンゴム (0.45 mm),ポリビニルアルコール（PVA）,クロロスルホン化ポリエチレン（CSM） (0.9 mm),ポリ塩化ビニル,ウレタン (0.5 mm),フッ素ゴム/ブチルゴム (0.3 mm),クロロプレン/天然ゴム (0.68 mm),クロロプレン/天然ゴム (0.7 mm),ニトリル/ネオプレンゴム (0.2 mm),ニトリル/ネオプレンゴム (0.38 mm),ポリ塩化ビニル/ニトリルゴム,多層フィルム（LLDPE） (0.062 mm),多層フィルム（EVOH） (0.06 mm),その他多層/複層フィルム
50-21-5,乳酸,3,,,,3,3,,3,,3,3,3,,2,,,,3,3,,3,,3,3,,3
50-32-8,ベンゾ［ａ］ピレン,3,,,,3,3,,3,,0,3,2,,3,,,,3,3,,3,,2,3,3,0
50-78-2,アセチルサリチル酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
51-75-2,ビス（２－クロロエチル）メチルアミン（ナイトロジェンマスタード）,,,,,,,,,,,,,,,,,,,,,,,,,,
52-51-7,２－ブロモ－２－ニトロプロパン－１，３－ジオール（別名ブロノポル）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
52-68-6,ジメチル＝２，２，２－トリクロロ－１－ヒドロキシエチルホスホナート（別名トリクロルホン又はＤＥＰ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
53-70-3,ジベンゾ［ａ，ｈ］アントラセン,3,,,,3,3,,3,,0,3,2,,3,,,,3,3,,3,,2,3,3,
54-11-5,３－（１－メチル－２－ピロリジニル）ピリジン（別名ニコチン）,,0,,,1,2,,2,,0,3,0,,,,,,3,0,,1,,0,3,3,3
55-18-5,Ｎ－ニトロソジエチルアミン,0,,,,0,0,,1,,0,3,0,,0,,,,2,0,,0,,0,3,3,3
55-38-9,チオりん酸Ｏ，Ｏ－ジメチル－Ｏ－（３－メチル－４－メチルチオフェニル）【フェンチオン】,0,,,,1,1,,2,,0,3,0,,,,,,3,1,,1,,0,3,,
55-56-1,クロルヘキシジン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
55-63-0,ニトログリセリン,,,,,,,,,,,,,,,,,,,,,,,,,,
55-68-5,硝酸フェニル水銀,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
56-18-8,３，３’－イミノジ（プロピルアミン）,0,,,,1,1,,2,,0,3,2,,0,,,,3,,2,2,,2,3,,3
