,,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
,,,,,,,,,NITEデータを張り付けた場合に、押下する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,濃度基準値,,,,,,日本産業衛生学会,,,,,,,ACGIHTLV,,,,,,,,,DFG MAK,,,,,,物化性状,,,,,,,,,法規制,,,,,,,,,,,,
,表示用,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,8時間,,短時間,,,,許容濃度,,最大許容濃度,,,,,TWA,,STEL,,C,,,,,MAK,,Peak lim,,,,,,,,,水溶解度,,蒸気圧,,,,,,特化則,特化則,特化則,特化則,有機則,有機則,有機則,鉛則,四アルキル鉛中毒予防規則
CAS RN,Text,日本語名称,英語名称,GHS分類結果_ID,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：ガス）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉塵、ミスト）,皮膚腐食性／刺激性,眼に対する重篤な損傷性／眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,特定標的臓器毒性（単回暴露）,特定標的臓器毒性（反復暴露）,誤えん有害性,水生環境有害性　短期（急性）,水生環境有害性　長期（慢性）,オゾン層への有害性,詳細情報（NITE HP　GHS分類結果）,モデルラベル掲載ページURL,モデルＳＤＳ掲載ページURL,ppm,mg/m3,ppm,mg/m3,備考,年度,ppm,mg/m3,ppm,mg/m3,備考,皮膚吸収,提案年度,ppm,mg/m3,ppm,mg/m3,ppm,mg/m3,備考,Skin,ドキュメンテーション採用年,ppm,mg/m3,ppm,mg/m3,備考,ドキュメンテーション採用年,"性状
液体:1、固体:2、気体:3",分子量,沸点,水／オクタノール分配係数（logKow）,引火点,値,単位,値,単位,皮膚等障害化学物質,がん原性物質,濃度基準値設定物質,皮膚等障害化学物質の裾切値,第１類,第２類,第３類,裾切,第１類,第２類,第３類,,
50-00-0,ホルムアルデヒド,ホルムアルデヒド,Formaldehyde,m-nite-50-00-0,,1,,,LiquefiedGas,,,,,,,,,,,,,4,3,2,,,1,2,1,1A,2,1A,,1,1,,2,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-00-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-00-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-00-0.html,,,,,,,0.1,0.12,0.2,0.24,,,2007,0.1,,0.3,,,,,,2017,0.3,0.37,0.6,0.74,I(2),,1,30.03,98,0.35,85,400,g/L,518.6,kPa,0,,,1,,1,,1,,,,,
50-01-1,グアニジン・塩酸塩,グアニジン・塩酸塩,guanidinium chloride; guanadine hydrochloride,m-nite-50-01-1,,,,,,,,,,,,,,,,,,4,,,,,2,2A,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-01-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-01-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-01-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,95.53,,-1.7,,228,g/100mL,,,,,,,,,,,,,,,
50-06-6,フェノバルビタール,フェノバルビタール,Phenobarbital,m-nite-50-06-6,,,,,,,,,,,,,,,,,,3,,,,,,,,,1B,2,2,3,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-06-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-06-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-06-6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,232.24,,1.47,,1110,mg/L,,,,,,,,,,,,,,,
50-18-0,シクロホスファミド無水物,シクロホスファミド無水物,Cyclophosphamide anhydride,m-nite-50-18-0,,,,,,,,,,,,,,,,,,3,,,,,,,,,1B,1A,1A,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-18-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-18-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-18-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,261.09,,0.63,112,40000,mg/L,,,,1,,,,,,,,,,,
50-21-5,"乳酸（DL-, L-, D-）","乳酸（DL-, L-, D-）","Lactic acid (DL-, L-, D-)",m-nite-50-21-5,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-21-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-21-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-21-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,90.08,216.6,-0.62,110,876,g/L,0.00308,mmHg,1,,,1,,,,,,,,,
50-29-3,"1,1,1-トリクロロ-2,2-ビス (4-クロロフェニル) エタン (DDT)","1,1,1-トリクロロ-2,2-ビス (4-クロロフェニル) エタン (DDT)","1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane [DDT]",m-nite-50-29-3,,,,,,,,,,,,,,,,,,3,3,,,,,2B,,,1B,1B,1B,1,1,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-29-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-29-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-29-3.html,,,,,,,,,,,,,,,1,,,,,,,1995,,1,,8,II(8),2022,2,354.49,260,6.36,72,0.025,mg/L,,,,1,,,,,,,,,,,
50-31-7,"2,3,6-トリクロロ安息香酸","2,3,6-トリクロロ安息香酸","2,3,6-Trichlorobenzoic acid",m-nite-50-31-7,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-31-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-31-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-31-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,225.46,,2.71,,7700,mg/L,,,,,,,,,,,,,,,
